,f1-score (trainset),f1-score (testset),training time,evaluate time,bias,varience
svm_activation_42,1.0,0.9468599033816425,1.438870840999698,0.006473105999702966,0.0,0.0531400966183575
knn_activation_43,0.99872,0.9838969404186796,0.749487912999939,4.952591106,0.0012799999999999478,0.014823059581320464
nb_activation_43,0.99904,0.9919484702093397,0.05847699299965825,0.006527365999772883,0.0009599999999999609,0.0070915297906603
logit_activation_43,1.0,0.9838969404186796,3.697910725999918,0.006138455000382237,0.0,0.01610305958132041
nn_activation_43,1.0,0.9838969404186796,12.379772304000198,0.037629911999829346,0.0,0.01610305958132041
svm_activation_43,1.0,0.9468599033816425,1.442363203000241,0.0066164969998681045,0.0,0.0531400966183575
knn_activation_44,0.99872,0.9838969404186796,0.7361926029998358,4.9817260069999065,0.0012799999999999478,0.014823059581320464
nb_activation_44,0.99904,0.9919484702093397,0.05667033999998239,0.006374565999976767,0.0009599999999999609,0.0070915297906603
logit_activation_44,1.0,0.9838969404186796,3.7451077720002104,0.006474184000126115,0.0,0.01610305958132041
nn_activation_44,1.0,0.9855072463768116,12.822225354000238,0.03700729699994554,0.0,0.01449275362318836
svm_activation_44,1.0,0.9468599033816425,1.4146150639999178,0.006668978000107018,0.0,0.0531400966183575
knn_activation_45,0.99872,0.9838969404186796,0.7653763170001184,4.91654657700019,0.0012799999999999478,0.014823059581320464
nb_activation_45,0.99904,0.9919484702093397,0.045386184999642865,0.00597264299995004,0.0009599999999999609,0.0070915297906603
logit_activation_45,1.0,0.9838969404186796,3.6581650979996994,0.005940291000115394,0.0,0.01610305958132041
nn_activation_45,1.0,0.9871175523349437,11.918868690999716,0.0363423009998769,0.0,0.012882447665056307
svm_activation_45,1.0,0.9468599033816425,1.4394555649996619,0.006481110000095214,0.0,0.0531400966183575
knn_activation_46,0.99872,0.9838969404186796,0.7416733410000234,4.9298683820002225,0.0012799999999999478,0.014823059581320464
nb_activation_46,0.99904,0.9919484702093397,0.06306976799987751,0.006562962999851152,0.0009599999999999609,0.0070915297906603
logit_activation_46,1.0,0.9838969404186796,3.7032867899997655,0.006379344999913883,0.0,0.01610305958132041
nn_activation_46,1.0,0.9903381642512077,12.563102245999744,0.03545479400008844,0.0,0.009661835748792313
svm_activation_46,1.0,0.9468599033816425,1.419971212999826,0.006552873999680742,0.0,0.0531400966183575
knn_activation_47,0.99872,0.9838969404186796,0.751756357999966,4.942085342000155,0.0012799999999999478,0.014823059581320464
nb_activation_47,0.99904,0.9919484702093397,0.059605097000257956,0.006525968999994802,0.0009599999999999609,0.0070915297906603
logit_activation_47,1.0,0.9838969404186796,3.6682210939998185,0.006723879000219313,0.0,0.01610305958132041
nn_activation_47,1.0,0.9887278582930756,14.122892617000161,0.03610934299967994,0.0,0.011272141706924366
svm_activation_47,1.0,0.9468599033816425,1.421079469000233,0.006979152999974758,0.0,0.0531400966183575
knn_activation_48,0.99872,0.9838969404186796,0.779492904000108,4.967661250000219,0.0012799999999999478,0.014823059581320464
nb_activation_48,0.99904,0.9919484702093397,0.0581837749996339,0.006759825000244746,0.0009599999999999609,0.0070915297906603
logit_activation_48,1.0,0.9838969404186796,3.681111353000233,0.006347545000153332,0.0,0.01610305958132041
nn_activation_48,1.0,0.9871175523349437,13.239218580999932,0.03410899000027712,0.0,0.012882447665056307
svm_activation_48,1.0,0.9468599033816425,1.458735205999801,0.006847696000022552,0.0,0.0531400966183575
